"","Sample","Chromosome","Start_UBR5","End_UBR5","Segment_Mean_UBR5","Start_MYC","End_MYC","Segment_Mean_MYC"
"24","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_B12_772088","8",98008625,104443928,0.0027,122995838,140990666,-0.0075
"25","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C01_772134","8",67636256,111279265,-0.1592,111288052,140999428,-0.153
"26","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C02_772076","8",50126018,111282237,0.0944,122968243,130766260,0.0701
"27","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C03_772214","8",96689141,105931666,0.6052,123933863,128424089,0.5944
"28","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C04_772182","8",39527181,111282417,0.006,111288052,143622987,0.0074
"29","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C05_772090","8",39530780,145072769,0.0082,39530780,145072769,0.0082
"30","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C06_772066","8",71307628,106430300,0.0108,111289023,128744020,0.0138
"31","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C07_772220","8",63936953,128744020,0.0148,63936953,128744020,0.0148
"32","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C08_772120","8",84358447,111282441,0.009,111283031,135728234,0.005
"33","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C09_772148","8",78452037,111279265,0.0104,122057480,145072769,5e-04
"34","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C10_772106","8",62127851,145072769,0.0078,62127851,145072769,0.0078
"35","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C11_772138","8",94545887,111282237,0.0073,124427474,139141133,0.0051
"36","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_C12_772180","8",50126018,111282065,0.0067,111283031,141847036,0.0047
"37","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D01_772210","8",71307628,114622438,0.0084,114752394,140806055,0.0088
"38","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D02_772166","8",39530780,111279265,0.007,111288052,140860122,0.0091
"39","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D03_772054","8",71304266,106431686,0.0099,114574832,128131434,0.009
"40","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D05_772086","8",46536420,145072769,0.2461,46536420,145072769,0.2461
"41","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D06_772178","8",94546864,107672644,0.0915,107673389,145072769,0.1606
"42","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D07_772132","8",94545887,102980362,0.1113,111288052,143616987,0.1126
"43","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D08_772218","8",76125412,111282237,0.8635,111288052,137811491,0.8812
"44","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D09_772158","8",71303987,145072769,0.0649,71303987,145072769,0.0649
"45","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D10_772230","8",63936953,106071589,0.1207,111288052,140536625,0.1216
"46","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D11_772176","8",92360384,103749413,0.1648,120024953,128846357,0.1642
"47","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_D12_772102","8",94545887,102980362,0.0626,111288052,145072769,0.0719
"48","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E01_772042","8",102106569,113240725,0.9391,114638468,143217531,0.956
"49","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E02_772206","8",71307628,114619207,0.0807,121415038,129805743,0.0685
"50","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E03_772152","8",98511489,111282237,0.9855,111288052,145072769,1.0071
"51","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E04_772186","8",71304266,106010127,-0.0491,111289023,145072769,-0.0382
"52","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E05_772196","8",42846545,137025163,0.1814,42846545,137025163,0.1814
"53","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E06_772216","8",52353052,137514437,0.0038,52353052,137514437,0.0038
"54","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E07_772228","8",94545887,111279265,0.003,111288052,143616987,0.0065
"55","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E08_772200","8",87514001,141280187,0.0079,87514001,141280187,0.0079
"56","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E09_772126","8",94545764,106521903,0.0107,111283031,128730029,0.0054
"57","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E10_772162","8",71307628,111158207,0.0043,113905303,145072769,0.0093
"58","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E11_772108","8",82694115,111282237,0.0012,111288052,141844777,-9e-04
"59","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_E12_772100","8",60091761,114626238,-0.0029,114628548,145072769,8e-04
"60","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F01_772040","8",74901251,114626121,0.0013,114628588,142662564,0.0045
"61","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F02_772114","8",46271659,111282417,0.0022,111283031,140990632,0.0082
"62","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F03_772070","8",39530780,111279265,0.0083,111283031,145072769,0.0108
"63","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F04_772074","8",71304266,111279265,0.0047,111288052,141332583,0.0038
"64","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F05_772150","8",39531260,111282065,0.0082,111288052,128424089,0.0062
"65","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F06_772080","8",46634473,141330458,0.0024,46634473,141330458,0.0024
"66","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F08_772194","8",57463019,114626238,0.0378,114628907,134691261,0.0459
"67","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F09_772122","8",100677962,111279265,0.4702,111289023,143624639,0.4745
"68","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F10_772142","8",57468448,114623472,0.0145,114628773,140885672,0.0189
"69","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F11_772174","8",90959746,111279265,0.5454,114343955,145072769,0.1578
"70","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F12_772146","8",94564122,114619207,0.81,114638468,134154292,0.808
"71","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G01_772064","8",39526605,114619814,0.0071,114638468,145072769,0.0086
"72","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G02_772084","8",39531605,145072769,0.0072,39531605,145072769,0.0072
"73","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G03_772092","8",71307628,114619207,0.0025,114642539,140999428,0.0088
"74","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_G04_772104","8",40331978,111282809,0.004,111283031,141190976,0.0027
"75","BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_C05_1347438","8",39698189,128735944,0.3449,39698189,128735944,0.3449
"76","BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_C06_1347318","8",80671971,114353668,0.1251,118146524,133068201,0.1388
"77","BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_C09_1347462","8",71307892,111282809,0.0016,111288052,145072769,0.0018
"78","BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_C11_1347436","8",43084488,111282809,0.0689,122467577,141299262,0.105
"79","BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_C12_1347490","8",13820134,145072769,0.0156,13820134,145072769,0.0156
"80","BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_D01_1347374","8",62501601,111282809,0.0048,123128301,145072769,0.0031
"81","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A01_697138","8",50128070,145072769,0.0062,50128070,145072769,0.0062
"82","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A02_697180","8",71304364,111282417,0.0066,111283031,142118168,0.0072
"83","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A03_697148","8",39531260,106768275,0.0125,119150615,136222232,0.0048
"84","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A04_697150","8",93337514,103484012,1.0295,122057628,143217461,0.9082
"85","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A05_697032","8",90051780,128343188,0.0282,90051780,128343188,0.0282
"86","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A06_697120","8",94545887,113800279,0.0146,113804091,145072769,0.0087
"87","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A07_697200","8",71307628,114622325,-0.0028,120816679,137810080,0.0044
"88","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A08_697164","8",39530780,111282417,0.0152,111283031,145072769,0.0112
"89","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A09_697146","8",40926161,111282417,0.0043,120816679,141564139,0.0102
"90","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A10_697110","8",94545887,102980362,3e-04,114626166,137811491,0.0065
"91","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A11_697156","8",40926161,111282417,0.0077,116618444,130839453,0.0124
"92","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B01_697160","8",79183895,136862016,0.1707,79183895,136862016,0.1707
"93","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B02_697064","8",71307628,114622478,0.0066,114638468,141200714,0.0068
"94","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B03_697186","8",60664239,114619814,0.0464,124744478,145072769,0.0412
"95","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B04_697100","8",71304364,111279265,0.0098,111283031,128742994,0.01
"96","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B05_697036","8",39530780,141564139,0.0547,39530780,141564139,0.0547
"97","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B06_697196","8",71654919,111282852,0.0101,114638558,140423488,0.0096
"98","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B07_697190","8",94545887,106498096,0.1929,106499947,143227585,0.4243
"99","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B08_697166","8",96226541,111279265,0.816,127128122,128217832,1.0346
"100","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B09_697178","8",71307628,111279265,0.0092,126295912,139591259,0.0102
"101","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B10_697116","8",94545887,111279265,0.7877,118321192,132190597,0.7704
"102","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B11_697062","8",59420249,114622325,-0.0123,114629502,145072769,-0.0051
"103","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B12_697124","8",71307628,111279265,0.0089,111288052,138130829,0.0065
"104","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C01_697154","8",40335391,111128650,0.1103,119790152,131976820,0.1072
"105","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C02_697152","8",98116520,102980362,0.0913,127275544,127916649,0.2924
"106","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C03_707088","8",56085921,111282065,0.3005,124959674,130525010,0.2889
"107","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C04_697074","8",43209793,102980362,0.5369,119031453,140995610,0.529
"108","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C05_697104","8",67636071,102980362,0.01,114638468,141561434,0.0031
"109","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C06_697142","8",89795916,111279265,0.2389,122988101,128742994,0.2203
"110","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C07_697170","8",98842460,102980362,1.0981,115599783,136029534,1.0865
"111","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C08_697054","8",94564122,111279265,1.3692,119177153,128846357,1.3463
"112","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C09_697084","8",102065439,111282417,-0.3125,127633727,127919899,2.0835
"113","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C10_697206","8",81254,145072769,0.0232,81254,145072769,0.0232
"114","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C11_697162","8",100061763,103216778,1.519,126601689,128735944,1.3586
"115","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_C12_697122","8",94699240,103626319,-0.0076,114874204,138842032,0.0093
"116","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D01_697136","8",40926161,111282417,0.0072,111283031,145072769,0.0058
"117","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D02_697126","8",39531260,111282417,0.0048,114638468,145072769,0.004
"118","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D03_697114","8",80432336,102980362,0.0257,111283031,128744020,0.0243
"119","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D04_697026","8",101854259,111282237,0.172,124138489,141450395,0.189
"120","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D06_697024","8",55941442,111279265,0.0014,111288052,140414401,0.0086
"121","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058","8",80432336,111282417,0.0084,114866654,128744020,0.0104
"122","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D08_697018","8",101613484,102980362,0.014,111283031,141041556,0.004
"123","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D09_697184","8",50119827,114580198,0.0072,114638468,136679162,0.0052
"124","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D10_697056","8",1244191,140794647,-0.0116,1244191,140794647,-0.0116
"125","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D11_697080","8",93302887,106022892,0.1252,122706048,129700759,0.6961
"126","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D12_697044","8",61489435,114622258,-0.0026,119150615,137810080,-0.0049
"127","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E01_697052","8",56085921,106204993,0.011,114638468,141594864,0.0035
"128","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E02_697130","8",99778761,103042906,1.5823,119363930,136352376,1.2101
"129","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E03_697050","8",92931503,103918610,0.1714,116582625,128087010,-0.3531
"130","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E04_697112","8",71307628,111279265,0.5678,111283031,138470417,0.5766
"131","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E05_697076","8",94546864,145072769,0.0041,94546864,145072769,0.0041
"132","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E06_697086","8",71307628,111269132,0.0031,114638468,136881227,0.0113
"133","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E07_697042","8",39531496,106378098,0.0122,111288052,141442125,0.0068
"134","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E08_697096","8",94564122,108511793,0.578,111288052,129670188,0.5882
"135","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E09_697144","8",98269896,103833192,0.0241,127321014,128406332,0.9378
"136","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E10_697070","8",96405631,106303541,0.0036,114441068,130694513,-9e-04
"137","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E11_697066","8",67636256,114619814,0.0028,119150615,139141133,0.0052
"138","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E12_697128","8",63936953,111282417,0.0104,111283031,141035966,0.0106
"139","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F01_697046","8",101859244,106204993,0.0054,106209728,141487538,0.0056
"140","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F02_697020","8",40335391,134046077,0.0075,40335391,134046077,0.0075
"141","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F03_697102","8",57169026,102972280,0.01,114638468,133160552,0.0053
"142","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F04_697202","8",67636256,111282050,-2e-04,111288052,145072769,0.0054
"143","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F05_697134","8",57025292,111282809,0.0033,120947650,128846357,0.0043
"144","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F06_697022","8",96231941,111282417,8e-04,114907650,144486626,0.0136
"145","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F07_697060","8",81085703,111282237,0.3337,114638468,134068507,0.3435
"146","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F08_697198","8",71307628,111282441,0.0107,125058123,142153456,0.0076
"147","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F09_697188","8",89311535,145072769,0.0095,89311535,145072769,0.0095
"148","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F10_697194","8",71307628,111279265,0.3566,127441520,128744020,0.3517
"149","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F11_697168","8",74416300,108888607,0.3866,121098498,133559723,0.5107
"150","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F12_697082","8",67636256,111282237,-0.0012,111283031,145072769,0.0065
"151","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G01_697092","8",89318781,107701993,0.0135,124744478,140632832,0.0145
"152","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G02_697016","8",39531496,114619814,0.9814,114638468,136825523,0.9748
"153","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G03_697108","8",101859244,103521507,0.0027,125598803,129813126,0.0016
"154","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G04_697204","8",96964963,106178765,1.4706,122031204,137294652,1.6456
"155","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G05_697094","8",101319372,111282417,0.2983,126890993,128343188,0.2621
"156","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G06_697140","8",94545887,106846305,0.0594,110141933,131717380,0.0565
"157","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G08_697172","8",71307628,114622325,0.003,114642539,136881227,0.0086
"158","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G09_697048","8",94564122,102980362,0.8538,122827584,135456007,0.8493
"159","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G10_697078","8",67644593,102980362,0.2207,114650365,133158243,0.221
"160","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G11_697176","8",40926161,114619814,0.0062,114638468,145072769,0.0113
"161","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G12_697192","8",94546864,111279265,0.1346,122049128,129185544,0.1385
"162","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H01_697038","8",40926161,111279265,-0.001,114879397,128735944,1e-04
"163","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H02_697030","8",51360734,111279265,0.1056,126624699,128669495,0.1011
"164","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H03_697088","8",100354161,104443928,0.7755,127275110,127964219,1.0097
"165","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H04_697174","8",101859244,106202812,0.6308,127441520,129252977,0.9125
"166","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H05_697182","8",39495168,114622424,0.0102,114629356,144568943,0.0139
"167","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H06_697098","8",64858433,111279265,0.0122,111288052,133157766,0.0176
"168","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H07_697072","8",96405506,103273303,0.7334,126497373,130255749,1.2833
"169","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034","8",101859244,106204993,0.0034,114638558,141594864,0.0038
"170","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H09_697118","8",67644593,114619814,0.0142,114629502,145072769,0.0075
"171","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H10_697068","8",100360088,103146907,-0.2693,114638468,130835623,0.2668
"172","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H12_697028","8",84358447,111282237,2e-04,126161769,134049596,0.0071
"173","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A01_667050","8",101617168,103817855,0.476,127036729,128744020,0.8563
"174","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A03_667036","8",94545887,140990666,0.0152,94545887,140990666,0.0152
"175","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A04_666910","8",96405506,102980336,0.0197,114628333,140620316,0.0165
"176","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A05_666878","8",96407307,106878951,0.3488,124751642,134413184,0.3496
"177","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A06_666942","8",92917582,111279265,0.2473,111288052,145072769,0.2481
"178","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A07_666928","8",46204235,111279265,-0.0324,122669247,130740595,-0.0551
"179","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A08_667016","8",67636256,111282417,0.0179,114638468,136881227,0.0126
"180","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A09_667038","8",99765660,105945957,0.643,127591818,128744020,1.3526
"181","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A10_666932","8",98177617,111279265,0.0174,111288052,143610163,0.0264
"182","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A11_666908","8",70048926,111282417,0.013,120816679,145072769,0.0149
"183","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A12_667004","8",63936953,114622478,0.0183,114629356,135975571,0.0247
"184","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B01_667042","8",67636256,106236002,0.0059,111288052,141487538,0.011
"185","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B02_666898","8",90197963,145072769,0.0227,90197963,145072769,0.0227
"186","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B03_667046","8",84358447,111279265,0.0453,124751642,145072769,0.0484
"187","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B04_666870","8",71307628,111282065,0.0145,111283031,142384318,0.014
"188","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B05_666944","8",99229345,102969086,0.781,120816679,140991267,0.8107
"189","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B06_666866","8",94573579,111282417,1.1447,126295912,140414401,1.1395
"190","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B07_666956","8",46089809,132659856,0.0074,46089809,132659856,0.0074
"191","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B08_667044","8",43862525,111279265,0.009,125601524,140610614,0.0245
"192","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B09_666980","8",102049251,102972280,1.1646,119402967,132044865,0.7441
"193","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B11_666964","8",73115633,102486089,-0.0017,124744478,142343470,0.1886
"194","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B12_666920","8",57169026,111282441,0.0136,111283031,145072769,0.0166
"195","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C01_666986","8",91174785,106042181,0.0837,124746384,131062916,0.0644
"196","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C03_666970","8",63936953,111282065,0.0152,111283031,145072769,0.0205
"197","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C04_667032","8",57468448,111282441,0.0129,111288052,145072769,0.0188
"198","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C05_667052","8",102140254,145072769,0.0154,102140254,145072769,0.0154
